modelo,accuracy,precision,recall,f1,auc_roc,threshold
Gradient Boosting,0.8778004073319755,0.7788461538461539,0.6864406779661016,0.7297297297297297,0.9399282046621529,0.5
XGBoost,0.8818737270875764,0.7884615384615384,0.6949152542372882,0.7387387387387387,0.9420866088062889,0.5
Random Forest,0.8574338085539714,0.6904761904761905,0.7372881355932204,0.7131147540983607,0.914754396328441,0.5
Ensemble (GB+XGB),0.8940936863543788,0.7426470588235294,0.8559322033898306,0.7952755905511811,0.9422002090244014,0.26000000000000006
